Address,member,degree,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_income
20101398320,1,Elemantry,0.0,55350000.0,10500000.0,16380000.0,82230000.0
20101398320,2,No degree,0.0,0.0,500000.0,0.0,500000.0
20101398320,3,Diploma,0.0,0.0,500000.0,0.0,500000.0
20101398323,1,Secondary,68000000.0,0.0,0.0,21840000.0,89840000.0
20101398323,3,Elemantry,0.0,0.0,1000000.0,0.0,1000000.0
20101398323,4,No degree,0.0,0.0,1000000.0,0.0,1000000.0
20112404214,1,Secondary,157000000.0,0.0,0.0,16380000.0,173380000.0
20112404214,2,Secondary,13000000.0,0.0,0.0,0.0,13000000.0
20112404214,3,Elemantry,0.0,0.0,22000000.0,0.0,22000000.0
20112404214,4,No degree,0.0,0.0,3000000.0,0.0,3000000.0
20102398820,1,No degree,0.0,0.0,50000000.0,10920000.0,60920000.0
20107401511,1,No degree,0.0,0.0,12260000.0,5460000.0,17720000.0
20102398813,1,No degree,0.0,0.0,238000000.0,10920000.0,248920000.0
20112404210,1,Elemantry,0.0,165000000.0,960000.0,27300000.0,193260000.0
20112404210,2,Elemantry,40000000.0,0.0,960000.0,0.0,40960000.0
20112404210,3,HighSchool,0.0,0.0,1960000.0,0.0,1960000.0
20112404210,4,Elemantry,0.0,0.0,1760000.0,0.0,1760000.0
20102398814,1,No degree,0.0,38800000.0,190000000.0,10920000.0,239720000.0
20107401508,1,Diploma,0.0,520000000.0,0.0,21840000.0,541840000.0
20111403623,1,No degree,0.0,187700000.0,0.0,21840000.0,209540000.0
20111403623,3,Secondary,0.0,126000000.0,0.0,0.0,126000000.0
20104399220,1,No degree,50000000.0,0.0,0.0,10920000.0,60920000.0
20107401514,1,No degree,0.0,0.0,28450000.0,10920000.0,39370000.0
20107401514,2,No degree,0.0,0.0,850000.0,0.0,850000.0
20106401020,1,No degree,0.0,0.0,16800000.0,5460000.0,22260000.0
20104399214,1,Elemantry,66000000.0,0.0,10000000.0,16380000.0,92380000.0
20104399214,3,No degree,0.0,0.0,1000000.0,0.0,1000000.0
20107401520,1,Elemantry,0.0,198000000.0,0.0,16380000.0,214380000.0
20107401520,3,HighSchool,0.0,0.0,5000000.0,0.0,5000000.0
20107401517,1,No degree,0.0,46150000.0,29800000.0,21840000.0,97790000.0
20107401517,2,No degree,0.0,0.0,19000000.0,0.0,19000000.0
20102398823,1,No degree,0.0,0.0,10000000.0,10920000.0,20920000.0
20102398823,2,No degree,45000000.0,0.0,0.0,0.0,45000000.0
20108401908,1,No degree,0.0,0.0,196800000.0,16380000.0,213180000.0
20108401908,2,No degree,0.0,0.0,800000.0,0.0,800000.0
20108401908,3,Elemantry,0.0,0.0,800000.0,0.0,800000.0
20104399207,1,Secondary,140000000.0,0.0,700000.0,21840000.0,162540000.0
20104399207,2,HighSchool,0.0,0.0,700000.0,0.0,700000.0
20104399207,3,No degree,0.0,0.0,600000.0,0.0,600000.0
20104399207,4,No degree,0.0,0.0,900000.0,0.0,900000.0
20108401920,1,No degree,0.0,0.0,22650000.0,10920000.0,33570000.0
20108401920,2,No degree,0.0,0.0,1650000.0,0.0,1650000.0
20108401911,1,Elemantry,0.0,0.0,18860000.0,5460000.0,24320000.0
20108401911,2,Secondary,0.0,66850000.0,0.0,5460000.0,72310000.0
20108401913,1,Secondary,279368000.0,137200000.0,930000.0,21840000.0,439338000.0
20108401913,2,Elemantry,0.0,0.0,930000.0,0.0,930000.0
20108401913,3,HighSchool,0.0,0.0,2930000.0,0.0,2930000.0
20108401913,4,Secondary,0.0,0.0,2930000.0,0.0,2930000.0
20108401913,5,No degree,0.0,0.0,16930000.0,0.0,16930000.0
20106401023,1,Diploma,359800000.0,0.0,0.0,21840000.0,381640000.0
20106401023,3,Bachelor,0.0,0.0,2800000.0,0.0,2800000.0
20112404213,1,No degree,0.0,149000000.0,0.0,21840000.0,170840000.0
20112404213,4,Elemantry,0.0,0.0,1000000.0,0.0,1000000.0
20105400620,1,HighSchool,180000000.0,0.0,0.0,16380000.0,196380000.0
20105400620,3,HighSchool,0.0,0.0,1000000.0,0.0,1000000.0
20104399208,1,Diploma,0.0,240000000.0,830000.0,16380000.0,257210000.0
20104399208,2,HighSchool,0.0,0.0,800000.0,0.0,800000.0
20111403620,1,Elemantry,102960000.0,142500000.0,118760000.0,16380000.0,380600000.0
20111403620,2,Diploma,0.0,0.0,760000.0,0.0,760000.0
20108402408,1,No degree,0.0,0.0,0.0,5460000.0,5460000.0
20108402417,1,No degree,0.0,0.0,21400000.0,5460000.0,26860000.0
20108402420,1,No degree,0.0,0.0,3000000.0,5460000.0,8460000.0
20104399614,1,No degree,0.0,0.0,37600000.0,10920000.0,48520000.0
20104399614,2,Elemantry,0.0,0.0,800000.0,0.0,800000.0
20114405107,1,No degree,0.0,82400000.0,0.0,5460000.0,87860000.0
