Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
10001001938,2,0,0,4800000,0,0,0,1,1401
10001001941,1,180000000,0,4800000,14000000,0,0,1,1401
10001001941,2,0,0,4800000,0,0,0,1,1401
10001001941,3,0,0,4800000,0,0,0,1,1401
10001001941,4,0,0,4800000,0,0,0,1,1401
10001002425,1,0,0,4800000,51200000,0,0,1,1401
10001002425,2,0,0,4800000,0,0,0,1,1401
10001002425,3,0,0,4800000,0,0,0,1,1401
10001002425,4,0,0,4800000,0,0,0,1,1401
10001002430,1,0,0,5400000,0,0,0,1,1401
10001002430,2,0,0,5400000,0,0,0,1,1401
10001002430,3,0,0,5400000,0,0,0,1,1401
10001002430,4,0,0,5400000,0,0,0,1,1401
10001002432,1,0,240000000,5400000,51200000,0,0,1,1401
10001002432,2,0,0,5400000,0,0,0,1,1401
10001002435,1,1032000000,0,5000000,22000000,0,0,1,1401
10001002435,2,0,0,5000000,0,0,0,1,1401
10001002438,1,0,0,0,34000000,0,0,1,1401
10001002441,1,672000000,0,0,10000000,0,0,1,1401
10002002825,1,876000000,0,0,0,0,0,1,1401
10002002825,2,624000000,0,0,0,0,0,1,1401
10002002827,1,536000000,0,5000000,35000000,0,0,1,1401
10002002827,2,0,0,5000000,0,0,0,1,1401
10002002827,3,0,0,5000000,0,0,0,1,1401
10002002832,1,0,0,30000000,10000000,0,0,1,1401
10002002832,2,0,0,5000000,0,0,0,1,1401
10002002832,3,0,0,5000000,0,0,0,1,1401
10002002835,1,0,0,4800000,31000000,0,0,1,1401
10002002835,2,0,0,4800000,0,0,0,1,1401
10002002838,1,528000000,0,5000000,31000000,0,0,1,1401
10002002838,2,0,0,4500000,0,0,0,1,1401
10002002838,3,0,0,4500000,0,0,0,1,1401
10002002838,4,0,0,4500000,0,0,0,1,1401
10002002841,1,720000000,0,0,27000000,0,0,1,1401
10003003227,1,860000000,0,54300000,19000000,0,0,1,1401
10003003227,2,736000000,0,0,0,0,0,1,1401
10003003229,1,0,0,13000000,41890000,0,0,1,1401
10003003232,1,1424000000,0,0,17000000,0,0,1,1401
10003003232,3,0,0,0,0,20000000,0,1,1401
10003003236,1,0,0,21200000,41890000,0,0,1,1401
10003003238,1,246000000,0,10700000,28360000,0,0,1,1401
10003003241,1,114000000,0,10600000,28360000,0,0,1,1401
10004003826,1,0,0,0,60000000,0,0,1,1401
10004003829,1,0,120000000,6000000,41000000,0,0,1,1401
