Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
20011395435,1,,,20640000.0,10000000.0,,,1,1401
20010394225,1,,,20640000.0,56000000.0,,,1,1401
20006389424,1,,,1400000.0,16560000.0,,,1,1401
20006390622,1,0877000000,,1800000.0,,,,1,1401
20011395420,1,,,20640000.0,21500000.0,,,1,1401
20010394221,1,,,16560000.0,10000000.0,,,1,1401
20011395426,1,,,16560000.0,63500000.0,,40000000.0,1,1401
20011395423,1,,,20640000.0,21500000.0,,,1,1401
20011395423,2,,,,,15000000.0,,1,1401
20010394223,1,,,20640000.0,10000000.0,,,1,1401
20006390632,1,,,27400000.0,45000000.0,,,1,1401
20010394232,1,0255000000,0025000000,12360000.0,10000000.0,,,1,1401
20002385823,1,,,7000000.0,,,,1,1401
20004388226,1,0045000000,,,16600000.0,,40000000.0,1,1401
20013397029,1,,0125000000,,32360000.0,,,1,1401
20013397819,1,,,,10000000.0,,,1,1401
20013397823,1,,,12360000.0,18000000.0,,,1,1401
20012395823,1,,,17040000.0,10000000.0,,,1,1401
20013397035,1,0195000000,,800000.0,17150000.0,,,1,1401
20013397026,1,,0010000000,26400000.0,23650000.0,,85000000.0,1,1401
20001385430,1,0287000000,,,12360000.0,,,1,1401
20013397830,1,,,,12600000.0,,,1,1401
20013397826,1,0036000000,,,6600000.0,,60000000.0,1,1401
20001385432,1,,,2940000.0,32170000.0,,,1,1401
20001385421,1,0264000000,,16560000.0,10000000.0,,,1,1401
20001385424,1,0354000000,,12360000.0,,,,1,1401
20001385429,1,,,,306400000.0,,,1,1401
20006390219,1,,,1800000.0,32170000.0,,,1,1401
20006390227,1,,,,17940000.0,50000000.0,,1,1401
20006390225,1,,,1530000.0,29940000.0,,,1,1401
20013397832,1,,,2600000.0,49940000.0,,,1,1401
20001385435,1,0385500000,,1800000.0,,,,1,1401
20013397024,1,0593000000,,2100000.0,,,,1,1401
20013397835,1,,,2300000.0,97940000.0,,,1,1401
20006390220,1,,0156000000,4400000.0,36650000.0,,,1,1401
20007391426,1,0396000000,,2850000.0,,,,1,1401
20007391429,1,,,1800000.0,,,,1,1401
20007391432,1,0264000000,,12360000.0,,,,1,1401
20007391419,1,,,46400000.0,,,,1,1401
20007391829,1,,,,10000000.0,,250000000.0,1,1401
20005389035,1,0339000000,,1820000.0,22360000.0,,,1,1401
20007391420,1,,,13960000.0,42400000.0,,,1,1401
20007391420,2,,,,15600000.0,,,1,1401
20007391435,1,0492000000,,19000000.0,10000000.0,,,1,1401
20005389027,1,,,2850000.0,,,,1,1401
20004388223,1,,,,6600000.0,,60000000.0,1,1401
20005389026,1,,,,100000000.0,,,1,1401
20005389019,1,,,,,,160000000.0,1,1401
20007392623,1,,,28520000.0,10000000.0,,,1,1401
20004387829,1,,,,63560000.0,,,1,1401
20007391835,1,,,12360000.0,42000000.0,70000000.0,,1,1401
20012396626,1,,,24600000.0,20000000.0,,,1,1401
20012396632,1,,0320000000,200000000.0,10000000.0,,,1,1401
20012396623,1,,,20640000.0,10000000.0,,,1,1401
20012396635,1,,,24600000.0,20000000.0,,,1,1401
20004387820,2,,,12360000.0,34000000.0,,,1,1401
20004387823,1,,,12360000.0,20000000.0,,50000000.0,1,1401
20004387835,1,,,1680000.0,32360000.0,,,1,1401
20004388220,1,,,,26560000.0,,,1,1401
